date,ticker,forecast_origin,horizon_sessions,selected_model,forecast_close,sim_lower_80,sim_upper_80,sim_lower_95,sim_upper_95,random_walk_close
2026-11-23,SNDK,2026-09-22,44,CatBoost,2848.4158876288675,1519.0410316828745,5185.915421576208,1107.769589775762,6874.347474725135,1887.0400390625
2026-11-24,SNDK,2026-09-22,45,CatBoost,2871.6701177639134,1517.5184435155081,5259.712163534816,1127.2867429395926,7044.536486552641,1887.0400390625
2026-11-25,SNDK,2026-09-22,46,CatBoost,2895.1141934975326,1520.0918489275716,5320.257117890507,1123.3223012397746,7126.990576814465,1887.0400390625
2026-11-27,SNDK,2026-09-22,47,CatBoost,2918.7496647133853,1512.1728990737104,5407.760980664518,1115.1016441748072,7241.245666492978,1887.0400390625
2026-11-30,SNDK,2026-09-22,48,CatBoost,2942.578093948251,1507.6805754212464,5479.277598039004,1116.3570312057582,7536.883883619937,1887.0400390625
2026-12-01,SNDK,2026-09-22,49,CatBoost,2966.6010564953317,1537.6679086097843,5577.614481523661,1100.9816060279475,7667.796999732488,1887.0400390625
2026-12-02,SNDK,2026-09-22,50,CatBoost,2990.820140508389,1548.038711729204,5651.995541494887,1108.7179566612917,7785.876765695797,1887.0400390625
2026-12-03,SNDK,2026-09-22,51,CatBoost,3015.2369471067423,1553.6840291789722,5792.999948113107,1108.3089379986084,7880.252401739906,1887.0400390625
2026-12-04,SNDK,2026-09-22,52,CatBoost,3039.853090481115,1552.8998147287014,5843.551310351117,1099.278011599596,8057.616318425174,1887.0400390625
2026-12-07,SNDK,2026-09-22,53,CatBoost,3064.670198000348,1559.4810045282202,5918.799946470587,1091.5441834240037,8040.330987741785,1887.0400390625
2026-12-08,SNDK,2026-09-22,54,CatBoost,3089.6899103189876,1548.4448865054283,6001.449853031394,1102.8413194290995,8161.789187784481,1887.0400390625
2026-12-09,SNDK,2026-09-22,55,CatBoost,3114.913881485746,1563.3417233961738,6025.092211173367,1100.275636346177,8264.827162322015,1887.0400390625
2026-12-10,SNDK,2026-09-22,56,CatBoost,3140.343779052851,1583.2150927407836,6183.223579370058,1098.3191933053076,8513.543165028628,1887.0400390625
2026-12-11,SNDK,2026-09-22,57,CatBoost,3165.98128418629,1568.0260114932107,6297.696385833855,1098.765218622345,8704.422312149914,1887.0400390625
2026-12-14,SNDK,2026-09-22,58,CatBoost,3191.828091776948,1566.5000816572442,6302.470457439252,1089.6723247496327,8755.639134445515,1887.0400390625
2026-12-15,SNDK,2026-09-22,59,CatBoost,3217.885910552657,1566.7380081365843,6353.521846481112,1092.0836848451913,9024.18829541905,1887.0400390625
2026-12-16,SNDK,2026-09-22,60,CatBoost,3244.1564631911638,1584.4269373029986,6443.420428647069,1095.3871043200932,9214.212391630013,1887.0400390625
2026-12-17,SNDK,2026-09-22,61,CatBoost,3270.64148643401,1585.650391750078,6544.830773818874,1087.882682049118,9513.957364348456,1887.0400390625
2026-12-18,SNDK,2026-09-22,62,CatBoost,3297.342731201352,1590.7525951239602,6603.16206898422,1071.4456678673034,9581.293741402862,1887.0400390625
2026-12-21,SNDK,2026-09-22,63,CatBoost,3324.2619627077124,1589.9169241861769,6704.641968792333,1075.8646906667902,9696.63298718928,1887.0400390625
2026-12-22,SNDK,2026-09-22,64,CatBoost,3351.4009605786778,1592.44637283675,6848.350253358617,1077.89433872932,9812.876857229847,1887.0400390625
2026-12-23,SNDK,2026-09-22,65,CatBoost,3378.76151896855,1603.191744672701,6917.475170382475,1094.8517994241804,9938.321132726269,1887.0400390625
2026-12-24,SNDK,2026-09-22,66,CatBoost,3406.3454466789576,1606.7800970178573,6978.012423825251,1090.9885229191839,10093.326252312583,1887.0400390625
2026-12-28,SNDK,2026-09-22,67,CatBoost,3434.1545672784346,1608.1346855523643,7051.982920334789,1090.5112407630163,10222.02090590838,1887.0400390625
2026-12-29,SNDK,2026-09-22,68,CatBoost,3462.190719222977,1613.14433005176,7211.534643815076,1104.775527088911,10210.86271765764,1887.0400390625
2026-12-30,SNDK,2026-09-22,69,CatBoost,3490.4557559775817,1606.144122581096,7350.693362036252,1096.7104941233004,10370.73781051467,1887.0400390625
2026-12-31,SNDK,2026-09-22,70,CatBoost,3518.9515461387805,1601.9928244890343,7408.870916634737,1097.675358076455,10703.800807677302,1887.0400390625
