date,Random walk,Log drift (63),Ridge,Random Forest,Extra Trees,Hist Gradient Boosting,XGBoost,CatBoost
2026-11-11,1887.0400390625,1844.6392967293443,2994.00762727898,2387.003234841058,2559.017256088362,2088.456433088944,2658.949392997832,2669.03459719905
2026-11-12,1887.0400390625,1843.4751982740725,3039.320502949089,2400.1041060591765,2575.631460674985,2086.423496314802,2681.8885131859793,2690.824373415097
2026-11-13,1887.0400390625,1842.3118344476336,3085.3803647537297,2413.2768803330464,2592.4966869955933,2093.7660323802797,2705.025532302324,2712.7920395498595
2026-11-16,1887.0400390625,1841.1492047864244,3132.215438769028,2426.521952296684,2609.1609743833783,2087.252465959615,2728.362157647995,2734.9390478818227
2026-11-17,1887.0400390625,1839.9873088271347,3179.890723732116,2439.8397187500223,2625.9323780022214,2085.220701146264,2751.900111253241,2757.266862545751
2026-11-18,1887.0400390625,1838.8261461067466,3228.465129315567,2453.230578670797,2642.811586383633,2092.559004338157,2775.6411300045015,2779.7769596294847
2026-11-19,1887.0400390625,1837.665716162534,3277.900848730545,2466.6949332265026,2659.799292484929,2086.0491929011932,2799.586965772572,2802.47082727152
2026-11-20,1887.0400390625,1836.5060185320629,3328.2123877167505,2480.2331857864065,2676.8961937176787,2084.0185993730124,2823.739385541879,2825.3499657593948
2026-11-23,1887.0400390625,1835.3470527531917,3379.3627251014127,2493.8457419336355,2694.102991976339,2091.3526721315156,2848.100171540863,2848.4158876288675
2026-11-24,1887.0400390625,1834.1888183640697,3431.348670635536,2507.5330094773262,2711.420393667067,2084.846613513554,2872.6711213734957,2871.6701177639134
2026-11-25,1887.0400390625,1833.031314903138,3484.1677851009645,2521.295398464843,2728.8491097367228,2082.817190595314,2897.4540481519216,2895.1141934975326
2026-11-27,1887.0400390625,1831.8745419091297,3537.836057820581,2535.13332119406,2746.3898557020543,2090.147035359215,2922.450780630254,2918.7496647133853
2026-11-30,1887.0400390625,1830.7184989210675,3592.3748164079316,2549.047192225716,2764.0433516790745,2083.6447273968065,2947.6631633395164,2942.578093948251
2026-12-01,1887.0400390625,1829.5631854782657,3647.8047556687015,2563.0374283958313,2781.8103224126244,2081.6164744136663,2973.093056723754,2966.6010564953317
2026-12-02,1887.0400390625,1828.4086011203299,3704.139428879633,2577.1044488281964,2799.6914973061253,2088.942093620348,2998.7423372773187,2990.820140508389
2026-12-03,1887.0400390625,1827.2547453871557,3761.384938387132,2591.2486749469285,2817.687610451525,2082.443534151289,3024.6128976833347,3015.2369471067423
2026-12-04,1887.0400390625,1826.1016178189288,3819.5483883618467,2605.4705304890977,2835.7994006594345,2080.416450428796,3050.7066469533625,3039.853090481115
2026-12-07,1887.0400390625,1824.9492179561257,3878.6400430624954,2619.770441517418,2854.027611489459,2087.737846514235,3077.025510568267,3064.670198000348
2026-12-08,1887.0400390625,1823.7975453395122,3938.6726608131544,2634.1488364330153,2872.3729912807253,2081.2430333775706,3103.571430620299,3089.6899103189876
2026-12-09,1887.0400390625,1822.6465995101446,3999.6585192033176,2648.606145988259,2890.8362931826014,2079.2171182416623,3130.3463659564063,3114.913881485746
2026-12-10,1887.0400390625,1821.4963800093685,4061.609831149004,2663.1428032996673,2909.4182751856183,2086.5342936404318,3157.3522923227765,3140.343779052851
2026-12-11,1887.0400390625,1820.346886378819,4124.541652395254,2677.7592438608845,2928.119700152588,2080.043224676451,3184.591202510629,3165.98128418629
2026-12-14,1887.0400390625,1819.1981181604199,4188.469512070092,2692.4559055557247,2946.9413358499223,2078.0184774534528,3212.065106503268,3191.828091776948
2026-12-15,1887.0400390625,1818.0500748963852,4253.407954788011,2707.2332286712904,2965.883954979151,2085.3314345987214,3239.7760316243957,3217.885910552657
2026-12-16,1887.0400390625,1816.9027561292169,4319.3728466572065,2722.0916559111656,2984.9483352086468,2078.8441076489585,3267.7260226877165,3244.1564631911638
2026-12-17,1887.0400390625,1815.756161401706,4386.380157868355,2737.031632408676,3004.1352592055496,2076.820527665585,3295.917142147819,3270.64148643401
2026-12-18,1887.0400390625,1814.6102902569323,4454.444375404559,2752.0536057402246,3023.4455146678984,2084.1292689891193,3324.351470252372,3297.342731201352
2026-12-21,1887.0400390625,1813.4651422382633,4523.578674179411,2767.1580259387,3042.879894356971,2077.645681896354,3353.0311051956255,3324.2619627077124
2026-12-22,1887.0400390625,1812.3207168893555,4593.79797238592,2782.345345506962,3062.439196129827,2075.6232684797055,3381.958163273237,3351.4009605786778
2026-12-23,1887.0400390625,1811.1770137541523,4665.117194285398,2797.616019431392,3082.124222972066,2082.9277964118705,3411.1347790384375,3378.76151896855
2026-12-24,1887.0400390625,1810.0340323768862,4737.552666940983,2812.970505195529,3101.935783030791,2076.4479470201254,3440.563105459539,3406.3454466789576
2026-12-28,1887.0400390625,1808.8917723020766,4811.121613181375,2828.409262793771,3121.874689647788,2074.4266994976933,3470.2453140788084,3434.1545672784346
2026-12-29,1887.0400390625,1807.7502330745297,4885.841726486901,2843.9327547451603,3141.9417613929136,2081.727016467453,3500.1835951727026,3462.190719222977
2026-12-30,1887.0400390625,1806.6094142393406,4961.73073257756,2859.5414461072337,3162.137822097705,2075.2509026219923,3530.380157913494,3490.4557559775817
2026-12-31,1887.0400390625,1805.4693153418898,5038.806348179256,2875.2358044899597,3182.463700889198,2073.230820321654,3560.8372305322855,3518.9515461387805
